feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,rotation_only,4,1,linear,0,noiseless,0.0671270814052169,0.5944321321247716,0.0952757249674267
zz,rotation_only,4,1,linear,0,noisy,0.2486118611629553,0.678441312299319,0.0947147907173078
zz,rotation_only,4,1,linear,1,noiseless,0.1037028534785211,0.5998136164134654,0.1490371213623375
zz,rotation_only,4,1,linear,1,noisy,0.3803419126859197,0.6406825320063592,0.1261880916882419
zz,rotation_only,4,1,linear,2,noiseless,0.069241472597219,0.6053654763884098,0.0146642523216845
zz,rotation_only,4,1,linear,2,noisy,0.2339705450910361,0.6464564073117338,0.0122687580801929
zz,rotation_only,4,1,linear,3,noiseless,0.067545634139054,0.5774164234462272,0.0259974629335755
zz,rotation_only,4,1,linear,3,noisy,0.2586636375312883,0.6104653157785406,0.0211593279602988
zz,rotation_only,4,1,linear,4,noiseless,0.0961805091386041,0.5853593471190974,0.2556137675104756
zz,rotation_only,4,1,linear,4,noisy,0.2446913933894518,0.543453787582394,0.2415449907553507
zz,rotation_only,4,1,linear,5,noiseless,0.1083592228934764,0.5969754085347427,0.176688324641537
zz,rotation_only,4,1,linear,5,noisy,0.247774490579139,0.5788891475942785,0.1753501506442316
zz,rotation_only,4,1,linear,6,noiseless,0.0504303165715319,0.6348524056000306,0.1504032309653537
zz,rotation_only,4,1,linear,6,noisy,0.1599547434496666,0.6705514984770294,0.1383611551400983
zz,rotation_only,4,1,linear,7,noiseless,0.0611569293570633,0.6077990306837018,0.00129517598671
zz,rotation_only,4,1,linear,7,noisy,0.4615945079641239,0.6580424484317487,0.0014135871741601
zz,rotation_only,4,1,linear,8,noiseless,0.0775736763118593,0.6095454501242323,0.0261898948896567
zz,rotation_only,4,1,linear,8,noisy,0.2914715103462833,0.6636050820241294,0.0179751929776983
zz,rotation_only,4,1,linear,9,noiseless,0.0684652725179582,0.5880988810238754,0.0781192508245792
zz,rotation_only,4,1,linear,9,noisy,0.3061453348887026,0.5797432814710171,0.075434459194274
zz,rotation_only,4,1,circular,0,noiseless,0.057646614141108,0.7148930876138212,0.0821894490461645
zz,rotation_only,4,1,circular,0,noisy,0.9939787359663677,0.8053998049055103,0.0735986493478742
zz,rotation_only,4,1,circular,1,noiseless,0.0471993598425776,0.7119189757220405,0.1452789960103885
zz,rotation_only,4,1,circular,1,noisy,1.123587987151632,0.7710117171981049,0.1099925732669809
zz,rotation_only,4,1,circular,2,noiseless,0.0703365452377922,0.7229709836607202,0.0086732077559446
zz,rotation_only,4,1,circular,2,noisy,0.9638090788968552,0.7642788501641966,0.0064318396838828
zz,rotation_only,4,1,circular,3,noiseless,0.0227599951538214,0.7068857314158018,0.0233524207127941
zz,rotation_only,4,1,circular,3,noisy,0.8877374526967274,0.764580085586823,0.0168423623984129
zz,rotation_only,4,1,circular,4,noiseless,0.0383131045706402,0.700452015402482,0.2478165749845475
zz,rotation_only,4,1,circular,4,noisy,0.7713271119008975,0.6892261906714978,0.2105113992525479
zz,rotation_only,4,1,circular,5,noiseless,0.0453951212045398,0.7248532451391838,0.1285975534570473
zz,rotation_only,4,1,circular,5,noisy,0.8280157665529695,0.7375886362308035,0.1154518388665803
zz,rotation_only,4,1,circular,6,noiseless,0.026705784459235,0.7503683582279769,0.1118857353100923
zz,rotation_only,4,1,circular,6,noisy,0.8904765374485891,0.8028310453501699,0.0933756395531451
zz,rotation_only,4,1,circular,7,noiseless,0.0685527479656243,0.7326784658368429,0.0011229970925911
zz,rotation_only,4,1,circular,7,noisy,0.9145785897274318,0.7887797273089906,0.0010332714286758
zz,rotation_only,4,1,circular,8,noiseless,0.0699609305592126,0.7269801750543382,0.0249999880066038
